#separator:Semicolon
#html:false
#columns:ID;Infinitiv;Präsens;Präteritum;Perfekt;Englische Übersetzung;Tags
#deck:Motive A1-A2 Verbliste
#guid column:1
#tags column:7

MA1A2V_0067;erreichen;erreicht;erreichte;hat erreicht;to reach, to achieve;A2
MA1A2V_0068;erzählen;erzählt;erzählte;hat erzählt;to tell, to narrate;A1
MA1A2V_0069;essen;isst;aß;hat gegessen;to eat;A1
MA1A2V_0070;fahren;fährt;fuhr;ist gefahren;to drive, to go;A1
MA1A2V_0071;fallen;fällt;fiel;ist gefallen;to fall;A2
MA1A2V_0072;fehlen;fehlt;fehlte;hat gefehlt;to be missing, to lack;A1
MA1A2V_0073;feiern;feiert;feierte;hat gefeiert;to celebrate;A1
MA1A2V_0074;fernsehen;sieht fern;sah fern;hat ferngesehen;to watch TV;A1
MA1A2V_0075;finden;findet;fand;hat gefunden;to find;A1
MA1A2V_0076;fliegen;fliegt;flog;ist geflogen;to fly;A1
MA1A2V_0077;fragen;fragt;fragte;hat gefragt;to ask;A1
MA1A2V_0078;freuen (sich);freut;freute;hat gefreut;to be happy, to look forward to;A1
MA1A2V_0079;frühstücken;frühstückt;frühstückte;hat gefrühstückt;to have breakfast;A1
MA1A2V_0080;fühlen (sich);fühlt;fühlte;hat gefühlt;to feel;A2
MA1A2V_0081;geben;gibt;gab;hat gegeben;to give;A1
MA1A2V_0082;gefallen;gefällt;gefiel;hat gefallen;to please, to be pleasing to;A1
MA1A2V_0083;gehen;geht;ging;ist gegangen;to go;A1
MA1A2V_0084;gehören;gehört;gehörte;hat gehört;to belong to;A1
MA1A2V_0085;gewinnen;gewinnt;gewann;hat gewonnen;to win;A1
MA1A2V_0086;glauben;glaubt;glaubte;hat geglaubt;to believe, to think;A1
MA1A2V_0087;grillen;grillt;grillte;hat gegrillt;to grill, to barbecue;A1
MA1A2V_0088;haben;hat;hatte;hat gehabt;to have;A1
MA1A2V_0089;halten (sich);hält;hielt;hat gehalten;to stop, to hold;A1
MA1A2V_0090;hängen;hängt;hängte;hat gehängt;to hang (transitive);A2
MA1A2V_0091;hängen;hängt;hing;hat gehangen;to hang (intransitive);A2
MA1A2V_0092;heiraten;heiratet;heiratete;hat geheiratet;to marry;A1
MA1A2V_0093;heißen;heißt;hieß;hat geheißen;to be called;A1
MA1A2V_0094;helfen;hilft;half;hat geholfen;to help;A1
MA1A2V_0095;holen;holt;holte;hat geholt;to fetch, to get;A1
MA1A2V_0096;hören;hört;hörte;hat gehört;to hear, to listen;A1
MA1A2V_0097;interessieren (sich);interessiert;interessierte;hat interessiert;to be interested in;A2
MA1A2V_0098;kaufen;kauft;kaufte;hat gekauft;to buy;A1
MA1A2V_0099;kennen;kennt;kannte;hat gekannt;to know (a person or place);A1
MA1A2V_0100;kennenlernen;lernt kennen;lernte kennen;hat kennengelernt;to get to know, to meet;A2
MA1A2V_0101;klopfen;klopft;klopfte;hat geklopft;to knock;A1
MA1A2V_0102;kochen;kocht;kochte;hat gekocht;to cook;A1
MA1A2V_0103;kommen;kommt;kam;ist gekommen;to come;A1
MA1A2V_0104;können;kann;konnte;hat gekonnt;to be able to, can;A1
MA1A2V_0105;korrigieren;korrigiert;korrigierte;hat korrigiert;to correct;A2
MA1A2V_0106;kosten;kostet;kostete;hat gekostet;to cost;A1
MA1A2V_0107;kümmern (sich);kümmert;kümmerte;hat gekümmert;to take care of, to worry about;A1
MA1A2V_0108;lachen;lacht;lachte;hat gelacht;to laugh;A1
MA1A2V_0109;lassen;lässt;ließ;hat gelassen;to let, to leave;A2
MA1A2V_0110;laufen;läuft;lief;ist gelaufen;to run, to walk;A1
MA1A2V_0111;leben;lebt;lebte;hat gelebt;to live;A1
MA1A2V_0112;legen;legt;legte;hat gelegt;to lay, to put;A1
MA1A2V_0113;leihen;leiht;lieh;hat geliehen;to lend, to borrow;A2
MA1A2V_0114;lernen;lernt;lernte;hat gelernt;to learn, to study;A1
MA1A2V_0115;lesen;liest;las;hat gelesen;to read;A1
MA1A2V_0116;liefern;liefert;lieferte;hat geliefert;to deliver;A2
MA1A2V_0117;liegen;liegt;lag;hat gelegen;to lie (position);A1
MA1A2V_0118;lösen;löst;löste;hat gelöst;to solve;A2
MA1A2V_0119;lügen;lügt;log;hat gelogen;to lie (not tell the truth);A2
MA1A2V_0120;machen;macht;machte;hat gemacht;to do, to make;A1
MA1A2V_0121;meinen;meint;meinte;hat gemeint;to think, to mean, to believe;A1
MA1A2V_0122;merken (sich);merkt;merkte;hat gemerkt;to notice, to remember;A2
MA1A2V_0123;mieten;mietet;mietete;hat gemietet;to rent;A1
MA1A2V_0124;mitbringen;bringt mit;brachte mit;hat mitgebracht;to bring along;A1
MA1A2V_0125;mitkommen;kommt mit;kam mit;ist mitgekommen;to come along;A1
MA1A2V_0126;mitmachen;macht mit;machte mit;hat mitgemacht;to participate;A1
MA1A2V_0127;mitnehmen;nimmt mit;nahm mit;hat mitgenommen;to take along;A1
MA1A2V_0128;möchten;möchte;-;-;would like to;A1
MA1A2V_0129;mögen;mag;mochte;hat gemocht;to like;A1
MA1A2V_0130;müssen;muss;musste;hat gemusst;to have to, must;A1
MA1A2V_0131;nehmen;nimmt;nahm;hat genommen;to take;A1
MA1A2V_0132;öffnen;öffnet;öffnete;hat geöffnet;to open;A1
MA1A2V_0133;parken;parkt;parkte;hat geparkt;to park;A2
MA1A2V_0134;passen;passt;passte;hat gepasst;to fit, to suit;A2
MA1A2V_0135;probieren;probiert;probierte;hat probiert;to try, to taste;A2
MA1A2V_0136;putzen;putzt;putzte;hat geputzt;to clean;A2
MA1A2V_0137;rauchen;raucht;rauchte;hat geraucht;to smoke;A1
MA1A2V_0138;regnen;regnet;regnete;hat geregnet;to rain;A1
MA1A2V_0139;reisen;reist;reiste;ist gereist;to travel;A1
MA1A2V_0140;renovieren;renoviert;renovierte;hat renoviert;to renovate;A2
MA1A2V_0141;reparieren;repariert;reparierte;hat repariert;to repair;A1
MA1A2V_0142;reservieren;reserviert;reservierte;hat reserviert;to reserve;A2
MA1A2V_0143;riechen;riecht;roch;hat gerochen;to smell;A1
MA1A2V_0144;sagen;sagt;sagte;hat gesagt;to say;A1
MA1A2V_0145;sammeln;sammelt;sammelte;hat gesammelt;to collect;A2
MA1A2V_0146;scheinen;scheint;schien;hat geschienen;to shine, to seem;A1
MA1A2V_0147;schenken;schenkt;schenkte;hat geschenkt;to give (as a gift);A2
MA1A2V_0148;schicken;schickt;schickte;hat geschickt;to send;A2
MA1A2V_0149;schlafen;schläft;schlief;hat geschlafen;to sleep;A1
MA1A2V_0150;schließen;schließt;schloss;hat geschlossen;to close;A1
MA1A2V_0151;schmecken;schmeckt;schmeckte;hat geschmeckt;to taste;A1
MA1A2V_0152;schneiden (sich);schneidet;schnitt;hat geschnitten;to cut;A2
MA1A2V_0153;schneien;schneit;schneite;hat geschneit;to snow;A2
MA1A2V_0154;schreiben;schreibt;schrieb;hat geschrieben;to write;A1
MA1A2V_0155;schwimmen;schwimmt;schwamm;ist geschwommen;to swim;A1
MA1A2V_0156;sehen;sieht;sah;hat gesehen;to see;A1
MA1A2V_0157;sein;ist;war;ist gewesen;to be;A1
MA1A2V_0158;singen;singt;sang;hat gesungen;to sing;A2
MA1A2V_0159;sitzen;sitzt;saß;hat/ist gesessen;to sit;A1
MA1A2V_0160;sollen;soll;sollte;hat gesollt;to should, ought to;A1
MA1A2V_0161;spazieren gehen;geht spazieren;ging spazieren;ist spazieren gegangen;to go for a walk;A2
MA1A2V_0162;speichern;speichert;speicherte;hat gespeichert;to save (data);A2
MA1A2V_0163;spielen;spielt;spielte;hat gespielt;to play;A1
MA1A2V_0164;sprechen;spricht;sprach;hat gesprochen;to speak;A1
MA1A2V_0165;spülen;spült;spülte;hat gespült;to wash (dishes);A2
MA1A2V_0166;stattfinden;findet statt;fand statt;hat stattgefunden;to take place;A2
MA1A2V_0167;stecken;steckt;steckte;hat gesteckt;to put, to stick;A2
MA1A2V_0168;stehen;steht;stand;ist gestanden;to stand;A1
MA1A2V_0169;stehen bleiben;bleibt stehen;blieb stehen;ist stehen geblieben;to remain standing, to stop;A2
MA1A2V_0170;stellen;stellt;stellte;hat gestellt;to place, to set;A1
MA1A2V_0171;sterben;stirbt;starb;ist gestorben;to die;A2
MA1A2V_0172;stimmen;stimmt;stimmte;hat gestimmt;to be correct;A2
MA1A2V_0173;stören;stört;störte;hat gestört;to disturb, to bother;A2
MA1A2V_0174;streiten (sich);streitet;stritt;hat gestritten;to argue, to quarrel;A2
MA1A2V_0175;studieren;studiert;studierte;hat studiert;to study (at university);A1
MA1A2V_0176;suchen;sucht;suchte;hat gesucht;to search, to look for;A1
MA1A2V_0177;tanken;tankt;tankte;hat getankt;to refuel, to fill up (gas);A2
MA1A2V_0178;tanzen;tanzt;tanzte;hat getanzt;to dance;A1
MA1A2V_0179;tauschen;tauscht;tauschte;hat getauscht;to exchange, to swap;A1
MA1A2V_0180;teilnehmen;nimmt teil;nahm teil;hat teilgenommen;to participate;A2
MA1A2V_0181;telefonieren;telefoniert;telefonierte;hat telefoniert;to telephone, to call;A1
MA1A2V_0182;tragen;trägt;trug;hat getragen;to wear, to carry;A2
MA1A2V_0183;treffen (sich);trifft;traf;hat getroffen;to meet;A1
MA1A2V_0184;trinken;trinkt;trank;hat getrunken;to drink;A1
MA1A2V_0185;tun;tut;tat;hat getan;to do;A1
MA1A2V_0186;übernachten;übernachtet;übernachtete;hat übernachtet;to stay overnight;A1
MA1A2V_0187;übersetzen;übersetzt;übersetzte;hat übersetzt;to translate;A2
MA1A2V_0188;überweisen;überweist;überwies;hat überwiesen;to transfer (money);A1
MA1A2V_0189;umsteigen;steigt um;stieg um;ist umgestiegen;to change (trains, buses);A2
MA1A2V_0190;umziehen;zieht um;zog um;ist umgezogen;to move (house);A1
MA1A2V_0191;umziehen (sich);zieht sich um;zog sich um;hat sich umgezogen;to change clothes;A2
MA1A2V_0192;unterhalten (sich);unterhält;unterhielt;hat unterhalten;to chat, to converse, to entertain;A2
MA1A2V_0193;unternehmen;unternimmt;unternahm;hat unternommen;to undertake, to do;A2
MA1A2V_0194;unterschreiben;unterschreibt;unterschrieb;hat unterschrieben;to sign;A1
MA1A2V_0195;untersuchen;untersucht;untersuchte;hat untersucht;to examine, to investigate;A2
MA1A2V_0196;verdienen;verdient;verdiente;hat verdient;to earn;A1
MA1A2V_0197;vereinbaren;vereinbart;vereinbarte;hat vereinbart;to arrange, to agree;A2
MA1A2V_0198;vergessen;vergisst;vergaß;hat vergessen;to forget;A2
MA1A2V_0199;vergleichen;vergleicht;verglich;hat verglichen;to compare;A2
MA1A2V_0200;verkaufen;verkauft;verkaufte;hat verkauft;to sell;A1
MA1A2V_0201;verlieren;verliert;verlor;hat verloren;to lose;A2
MA1A2V_0202;verpassen;verpasst;verpasste;hat verpasst;to miss (train, bus, etc.);A2
MA1A2V_0203;verschieben;verschiebt;verschob;hat verschoben;to postpone, to move;A2
MA1A2V_0204;versprechen (sich);verspricht;versprach;hat versprochen;to promise;A2
MA1A2V_0205;verstehen (sich);versteht;verstand;hat verstanden;to understand;A1
MA1A2V_0206;versuchen;versucht;versuchte;hat versucht;to try, to attempt;A2
MA1A2V_0207;vorstellen (sich);stellt vor;stellte vor;hat vorgestellt;to introduce, to imagine;A1
MA1A2V_0208;wählen;wählt;wählte;hat gewählt;to choose, to dial, to vote;A2
MA1A2V_0209;wandern;wandert;wanderte;ist gewandert;to hike;A1
MA1A2V_0210;warten;wartet;wartete;hat gewartet;to wait;A1
MA1A2V_0211;waschen (sich);wäscht;wusch;hat gewaschen;to wash;A1
MA1A2V_0212;wechseln;wechselt;wechselte;hat gewechselt;to change, to exchange;A2
MA1A2V_0213;wecken;weckt;weckte;hat geweckt;to wake up;A2
MA1A2V_0214;werden;wird;wurde;ist geworden;to become;A1
MA1A2V_0215;wiederholen;wiederholt;wiederholte;hat wiederholt;to repeat;A1
MA1A2V_0216;wissen;weiß;wusste;hat gewusst;to know (a fact);A1
MA1A2V_0217;wohnen;wohnt;wohnte;hat gewohnt;to live, to reside;A1
MA1A2V_0218;wollen;will;wollte;hat gewollt;to want;A1
MA1A2V_0219;wünschen (sich);wünscht;wünschte;hat gewünscht;to wish, to desire;A2
MA1A2V_0220;zahlen;zahlt;zahlte;hat gezahlt;to pay;A1
MA1A2V_0221;zeigen;zeigt;zeigte;hat gezeigt;to show;A2
MA1A2V_0222;zuhören;hört zu;hörte zu;hat zugehört;to listen to;A2
MA1A2V_0223;zumachen;macht zu;machte zu;hat zugemacht;to close;A2
MA1A2V_0224;zurechtkommen;kommt zurecht;kam zurecht;ist zurechtgekommen;to cope, to manage;A2
